Campaign_ID,Campaign_Type,Target_Audience,Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Profit_Flag,Email,Facebook,Google,Instagram,WhatsApp,YouTube
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18.0,91801.0,3321.0,1971.0,1357.0,1046247.0,180.83,578480.43466239,Hindi,7.24,College Students,2025-04-06,1,0,0,0,0,0,1
NY-CMP-1004,Paid Ads,College Students,10.0,96871.0,3743.0,2060.0,1258.0,518296.0,228.6,226626.15923009627,Hindi,7.29,Tier 2 City Customers,2024-12-29,1,0,1,0,1,0,0
NY-CMP-1008,Influencer,Premium Shoppers,27.0,73813.0,8680.0,5031.0,2551.0,1058665.0,87.74,1206493.3439708229,Hindi,22.03,Tier 2 City Customers,2025-03-24,1,1,1,0,0,1,0
NY-CMP-1011,SEO,Youth,7.0,39696.0,5623.0,1136.0,661.0,286874.0,163.52,175336.6438356164,Hindi,18.69,Premium Shoppers,2024-12-21,1,0,1,0,0,0,1
NY-CMP-1013,SEO,Youth,14.0,96303.0,3749.0,1785.0,940.0,441800.0,282.05,156538.8938131537,Tamil,6.72,Premium Shoppers,2024-10-29,1,1,0,0,0,0,0
NY-CMP-1014,Paid Ads,Premium Shoppers,5.0,38072.0,2591.0,1542.0,769.0,240697.0,369.75,64997.2278566599,Bengali,12.88,College Students,2024-07-06,0,0,0,0,1,0,0
NY-CMP-1017,Paid Ads,Premium Shoppers,28.0,57060.0,1659.0,928.0,346.0,187186.0,448.86,41602.535311678475,Hindi,5.14,Premium Shoppers,2025-04-19,1,0,0,1,1,0,1
NY-CMP-1019,Paid Ads,College Students,21.0,55317.0,7847.0,1736.0,1079.0,715377.0,174.65,409506.06928142,English,19.27,Tier 2 City Customers,2025-02-16,1,0,0,0,1,0,0
NY-CMP-1021,SEO,Working Women,22.0,27990.0,3508.0,761.0,385.0,155540.0,516.25,30028.813559322032,Hindi,16.63,Youth,2025-01-30,0,0,0,1,1,0,1
NY-CMP-1022,Email,Working Women,9.0,74423.0,3139.0,1622.0,1149.0,629652.0,89.52,703264.6112600536,Bengali,7.94,Premium Shoppers,2025-02-03,1,0,0,0,0,1,1
NY-CMP-1023,SEO,Working Women,9.0,77708.0,4985.0,1363.0,916.0,632040.0,120.36,525024.6261216351,Bengali,9.35,Tier 2 City Customers,2025-05-07,1,1,0,1,0,1,0
NY-CMP-1029,Email,Youth,26.0,16978.0,1079.0,372.0,164.0,56908.0,1784.37,3089.2488665467363,English,9.51,Youth,2024-07-24,0,1,0,0,1,1,0
NY-CMP-1030,SEO,College Students,18.0,92924.0,9525.0,4340.0,2242.0,652422.0,27.28,2391476.2463343106,English,17.33,Youth,2025-03-17,1,0,0,0,0,0,1
NY-CMP-1035,Paid Ads,College Students,11.0,19637.0,478.0,236.0,173.0,108471.0,498.5,21659.47843530592,Tamil,4.52,Tier 2 City Customers,2024-10-12,1,0,1,1,0,1,0
NY-CMP-1041,Paid Ads,Tier 2 City Customers,7.0,96095.0,12738.0,6327.0,2845.0,631590.0,56.36,1120535.202271114,Bengali,22.8,College Students,2025-03-23,1,0,1,0,1,1,0
NY-CMP-1043,Influencer,Premium Shoppers,30.0,37002.0,2753.0,979.0,780.0,371280.0,123.02,301704.5846203869,Tamil,12.19,College Students,2025-05-29,1,0,0,0,0,0,1
NY-CMP-1045,Social Media,Tier 2 City Customers,12.0,57520.0,3932.0,2101.0,1431.0,1027458.0,128.93,796811.5023656248,English,12.98,Premium Shoppers,2024-08-24,1,0,0,0,0,1,0
NY-CMP-1046,Email,Working Women,24.0,52752.0,5831.0,3299.0,2095.0,509085.0,139.77,364130.52157115255,Bengali,21.28,Youth,2024-08-05,1,0,1,1,0,1,0
