Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
TI-CMP-1000,SEO,Working Women,11.0,,64004.0,2906.0,1639.0,952.0,222768.0,129.72,0.8,Tamil,,Premium Shoppers,30-10-2024
TI-CMP-1001,Social Media,Tier 2 City Customers,24.0,YouTube,71795.0,2051.0,552.0,256.0,199168.0,316.36,1.46,Tamil,3.98,College Students,11-09-2024
TI-CMP-1002,,Working Women,28.0,,79158.0,3546.0,1928.0,1314.0,433620.0,,2.62,English,8.58,Tier 2 City Customers,28-08-2024
TI-CMP-1003,Email,Youth,8.0,Google,31523.0,3721.0,2088.0,736.0,571872.0,161.13,3.82,Bengali,20.76,Youth,27-07-2024
TI-CMP-1004,Paid Ads,Premium Shoppers,15.0,"Facebook, Email, WhatsApp",61441.0,7277.0,3615.0,2602.0,1477936.0,82.07,,Tamil,21.96,College Students,19-12-2024
TI-CMP-1005,Email,Tier 2 City Customers,6.0,"Google, Facebook",32340.0,4722.0,1102.0,698.0,185668.0,194.21,0.37,English,20.17,Tier 2 City Customers,26-09-2024
TI-CMP-1006,Social Media,Working Women,5.0,"Email, YouTube, WhatsApp",91729.0,13151.0,5556.0,4153.0,2691144.0,32.98,18.65,English,24.92,Premium Shoppers,08-02-2025
TI-CMP-1007,Social Media,Working Women,21.0,"Google, Facebook, Instagram",65005.0,7269.0,3868.0,2118.0,1230558.0,,3.12,Bengali,20.39,College Students,14-11-2024
TI-CMP-1008,Email,Working Women,20.0,YouTube,73189.0,8370.0,3960.0,2248.0,804784.0,43.89,7.16,Hindi,19.92,College Students,19-08-2024
TI-CMP-1009,Influencer,College Students,30.0,"Email, WhatsApp, Facebook",45172.0,5934.0,2313.0,1432.0,890704.0,190.58,2.26,English,21.43,Youth,13-10-2024
TI-CMP-1010,Paid Ads,Working Women,17.0,WhatsApp,69755.0,5512.0,2113.0,1462.0,893282.0,128.34,3.76,Hindi,13.03,Working Women,07-11-2024
TI-CMP-1011,Paid Ads,Youth,13.0,"YouTube, Google",65072.0,3262.0,1203.0,362.0,221906.0,269.07,1.28,Hindi,7.42,Youth,02-01-2025
TI-CMP-1012,Influencer,Tier 2 City Customers,12.0,"YouTube, Instagram, Facebook",55636.0,,1846.0,1376.0,876512.0,122.46,4.2,Bengali,,Tier 2 City Customers,03-03-2025
TI-CMP-1013,Social Media,Tier 2 City Customers,11.0,"WhatsApp, YouTube, Facebook",47664.0,2390.0,516.0,331.0,132069.0,351.54,,Bengali,6.79,Working Women,02-01-2025
,Influencer,Working Women,13.0,"YouTube, Instagram, Facebook",64076.0,3644.0,1453.0,,210166.0,442.95,0.02,Tamil,8.68,,20-01-2025
TI-CMP-1015,SEO,Premium Shoppers,12.0,,26173.0,590.0,286.0,,99552.0,1973.18,,Hindi,3.87,Youth,
TI-CMP-1016,Paid Ads,,9.0,Facebook,97997.0,,2733.0,1710.0,737010.0,114.64,2.76,Tamil,9.52,,20-08-2024
TI-CMP-1017,,Working Women,7.0,Instagram,57914.0,3251.0,1316.0,621.0,344655.0,181.1,2.06,English,8.96,Youth,14-03-2025
TI-CMP-1018,Social Media,College Students,19.0,"Instagram, Email, Google",55714.0,7295.0,4021.0,1365.0,318045.0,71.56,,Bengali,22.76,Working Women,27-10-2024
TI-CMP-1019,Email,College Students,30.0,"YouTube, Email, Google",66194.0,3789.0,2191.0,1039.0,322090.0,,4.48,Tamil,10.6,Premium Shoppers,31-07-2024
TI-CMP-1020,SEO,Premium Shoppers,27.0,"Facebook, Instagram, WhatsApp",,5548.0,2987.0,1006.0,602594.0,128.94,3.65,Bengali,23.99,Working Women,08-10-2024
TI-CMP-1021,Paid Ads,Premium Shoppers,9.0,"WhatsApp, Instagram",30689.0,2535.0,1175.0,588.0,316344.0,148.6,2.62,Bengali,14.01,,19-04-2025
TI-CMP-1022,Influencer,College Students,26.0,"Email, Google",21912.0,2823.0,1320.0,746.0,317050.0,194.36,1.19,English,22.31,,16-01-2025
TI-CMP-1023,Influencer,Youth,,"YouTube, Google",68428.0,8823.0,3113.0,1773.0,1223370.0,87.09,6.92,,20.03,Tier 2 City Customers,13-08-2024
TI-CMP-1024,Social Media,Premium Shoppers,27.0,"Google, Facebook, Instagram",71309.0,7394.0,2522.0,1904.0,1222368.0,64.24,,,16.58,,08-05-2025
